y,m,d,h,G(i) [W/m2],H_sun,T_amb,,,,
2020,1,17,:0110,0,0,-2.71,,,,
2020,1,17,:0210,0,0,-2.89,,,,
2020,1,17,:0310,0,0,-3.02,,,,
2020,1,17,:0410,0,0,-3.03,,,,
2020,1,17,:0510,0,0,-2.89,,,,
2020,1,17,:0610,0,0,-2.41,,,,
2020,1,17,:0710,45.2,3.39,-1.48,,,,
2020,1,17,:0810,141.83,9.61,-1.03,,,,
2020,1,17,:0910,117.8,14.15,-0.52,,,,
2020,1,17,:1010,81.15,16.62,0,,,,
2020,1,17,:1110,58.21,16.8,0.51,,,,
2020,1,17,:1210,41.46,14.67,1.18,,,,
2020,1,17,:1310,47.63,10.44,1.34,,,,
2020,1,17,:1410,7.94,4.46,1.06,,,,
2020,1,17,:1510,0,0,0.46,,,,
2020,1,17,:1610,0,0,0,,,,
2020,1,17,:1710,0,0,-0.11,,,,
2020,1,17,:1810,0,0,0.16,,,,
2020,1,17,:1910,0,0,0.3,,,,
2020,1,17,:2010,0,0,0.54,,,,
2020,1,17,:2110,0,0,0.71,,,,
2020,1,17,:2210,0,0,0.69,,,,
2020,1,17,:2310,0,0,0.6,,,,
2020,1,18,:0010,0,0,0.55,,,,
2020,1,18,:0110,0,0,0.47,,,,
2020,1,18,:0210,0,0,0.57,,,,
2020,1,18,:0310,0,0,0.48,,,,
2020,1,18,:0410,0,0,0.33,,,,
2020,1,18,:0510,0,0,-0.03,,,,
2020,1,18,:0610,0,0,-0.27,,,,
2020,1,18,:0710,43.07,3.53,0.03,,,,
2020,1,18,:0810,75.27,9.77,1.03,,,,
2020,1,18,:0910,53.8,14.32,2.14,,,,
2020,1,18,:1010,61.74,16.81,2.8,,,,
2020,1,18,:1110,62.62,17.01,3.35,,,,
2020,1,18,:1210,59.1,14.89,3.63,,,,
2020,1,18,:1310,14.11,10.66,3.61,,,,
2020,1,18,:1410,36.19,4.67,3.53,,,,
2020,1,18,:1510,0,0,3.33,,,,
2020,1,18,:1610,0,0,3.18,,,,
2020,1,18,:1710,0,0,3.11,,,,
2020,1,18,:1810,0,0,3.07,,,,
2020,1,18,:1910,0,0,3.14,,,,
2020,1,18,:2010,0,0,3.21,,,,
2020,1,18,:2110,0,0,3.26,,,,
2020,1,18,:2210,0,0,3.3,,,,
2020,1,18,:2310,0,0,3.26,,,,
2020,1,19,:0010,0,0,3.12,,,,
2020,1,19,:0110,0,0,2.89,,,,
2020,1,19,:0210,0,0,2.62,,,,
2020,1,19,:0310,0,0,2.33,,,,
2020,1,19,:0410,0,0,2.12,,,,
2020,1,19,:0510,0,0,1.92,,,,
2020,1,19,:0610,0,0,1.71,,,,
2020,1,19,:0710,53.91,3.67,1.09,,,,
2020,1,19,:0810,238.32,9.93,1.49,,,,
2020,1,19,:0910,247.69,14.5,2.24,,,,
2020,1,19,:1010,631.43,17.01,3.41,,,,
2020,1,19,:1110,366,17.22,3.84,,,,
2020,1,19,:1210,433.08,15.1,4.15,,,,
2020,1,19,:1310,383.16,10.87,4.11,,,,
2020,1,19,:1410,251.6,4.88,3.89,,,,
2020,1,19,:1510,0,0,3.27,,,,
2020,1,19,:1610,0,0,2.72,,,,
2020,1,19,:1710,0,0,2.11,,,,
2020,1,19,:1810,0,0,1.8,,,,
2020,1,19,:1910,0,0,1.86,,,,
2020,1,19,:2010,0,0,1.56,,,,
2020,1,19,:2110,0,0,1.33,,,,
2020,1,19,:2210,0,0,1.11,,,,
2020,1,19,:2310,0,0,0.81,,,,
2020,1,20,:0010,0,0,0.76,,,,
2020,1,20,:0110,0,0,0.99,,,,
2020,1,20,:0210,0,0,1.02,,,,
2020,1,20,:0310,0,0,0.92,,,,
2020,1,20,:0410,0,0,1.11,,,,
2020,1,20,:0510,0,0,1.12,,,,
2020,1,20,:0610,0,0,0.87,,,,
2020,1,20,:0710,53.58,3.82,0.66,,,,
2020,1,20,:0810,77.35,10.1,1.12,,,,
2020,1,20,:0910,85.31,14.69,2.02,,,,
2020,1,20,:1010,49.39,17.22,2.52,,,,
2020,1,20,:1110,47.63,17.44,2.64,,,,
2020,1,20,:1210,95.15,15.33,2.56,,,,
2020,1,20,:1310,34.4,11.1,2.34,,,,
2020,1,20,:1410,9.7,5.11,2.02,,,,
2020,1,20,:1510,0,0,1.8,,,,
2020,1,20,:1610,0,0,1.57,,,,
2020,1,20,:1710,0,0,1.34,,,,
2020,1,20,:1810,0,0,1.29,,,,
2020,1,20,:1910,0,0,0.77,,,,
2020,1,20,:2010,0,0,0.43,,,,
2020,1,20,:2110,0,0,0.3,,,,
2020,1,20,:2210,0,0,0.26,,,,
2020,1,20,:2310,0,0,0.31,,,,
2020,1,21,:0010,0,0,0.34,,,,
2020,1,21,:0110,0,0,0.19,,,,
2020,1,21,:0210,0,0,0.24,,,,
2020,1,21,:0310,0,0,0.23,,,,
2020,1,21,:0410,0,0,0.08,,,,
2020,1,21,:0510,0,0,0.05,,,,
2020,1,21,:0610,0,0,0.05,,,,
2020,1,21,:0710,79.21,3.98,1.32,,,,
2020,1,21,:0810,234.29,10.27,1.75,,,,
2020,1,21,:0910,669.15,14.88,2.51,,,,
2020,1,21,:1010,763.89,17.43,3.28,,,,
2020,1,21,:1110,779.14,17.66,4.27,,,,
2020,1,21,:1210,751.06,15.56,4.73,,,,
2020,1,21,:1310,533.5,11.33,4.87,,,,
2020,1,21,:1410,229.81,5.33,4.59,,,,
2020,1,21,:1510,0,0,3.98,,,,
2020,1,21,:1610,0,0,3.41,,,,
2020,1,21,:1710,0,0,2.94,,,,
2020,1,21,:1810,0,0,2.61,,,,
2020,1,21,:1910,0,0,2.4,,,,
2020,1,21,:2010,0,0,2.25,,,,
2020,1,21,:2110,0,0,2.12,,,,
2020,1,21,:2210,0,0,2.17,,,,
2020,1,21,:2310,0,0,2.09,,,,
2020,1,22,:0010,0,0,2.03,,,,
2020,1,22,:0110,0,0,1.97,,,,
2020,1,22,:0210,0,0,1.88,,,,
2020,1,22,:0310,0,0,1.74,,,,
2020,1,22,:0410,0,0,1.75,,,,
2020,1,22,:0510,0,0,1.97,,,,
2020,1,22,:0610,0,0,2.28,,,,
2020,1,22,:0710,26.37,4.14,2.62,,,,
2020,1,22,:0810,38.81,10.46,2.98,,,,
2020,1,22,:0910,85.99,15.08,3.37,,,,
2020,1,22,:1010,79.38,17.64,3.81,,,,
2020,1,22,:1110,29.11,17.89,4.26,,,,
2020,1,22,:1210,28.23,15.79,4.54,,,,
2020,1,22,:1310,38.81,11.56,4.77,,,,
2020,1,22,:1410,30.31,5.56,4.63,,,,
2020,1,22,:1510,0,0,4.32,,,,
2020,1,22,:1610,0,0,3.56,,,,
2020,1,22,:1710,0,0,3.23,,,,
2020,1,22,:1810,0,0,2.89,,,,
2020,1,22,:1910,0,0,2.22,,,,
2020,1,22,:2010,0,0,1.8,,,,
2020,1,22,:2110,0,0,1.42,,,,
2020,1,22,:2210,0,0,1.34,,,,
2020,1,22,:2310,0,0,1.28,,,,
2020,1,23,:0010,0,0,1.35,,,,
2020,1,23,:0110,0,0,1.46,,,,
2020,1,23,:0210,0,0,1.26,,,,
2020,1,23,:0310,0,0,1.02,,,,
2020,1,23,:0410,0,0,0.73,,,,
2020,1,23,:0510,0,0,0.17,,,,
2020,1,23,:0610,0,0,-0.28,,,,
2020,1,23,:0710,44.14,4.31,-1.16,,,,
2020,1,23,:0810,96.53,10.64,-0.69,,,,
2020,1,23,:0910,83.08,15.29,0.28,,,,
2020,1,23,:1010,46.75,17.87,1.27,,,,
2020,1,23,:1110,61.74,18.13,1.61,,,,
2020,1,23,:1210,86.53,16.03,1.97,,,,
2020,1,23,:1310,59.72,11.8,1.83,,,,
2020,1,23,:1410,9.7,5.8,1.59,,,,
2020,1,23,:1510,0,0,1.28,,,,
2020,1,23,:1610,0,0,1.15,,,,
2020,1,23,:1710,0,0,1.16,,,,
2020,1,23,:1810,0,0,1.31,,,,
2020,1,23,:1910,0,0,1.53,,,,
2020,1,23,:2010,0,0,1.73,,,,
2020,1,23,:2110,0,0,1.75,,,,
2020,1,23,:2210,0,0,1.78,,,,
2020,1,23,:2310,0,0,1.68,,,,
2020,1,24,:0010,0,0,1.42,,,,
2020,1,24,:0110,0,0,0.97,,,,
2020,1,24,:0210,0,0,0.89,,,,
2020,1,24,:0310,0,0,0.76,,,,
2020,1,24,:0410,0,0,0.78,,,,
2020,1,24,:0510,0,0,0.36,,,,
2020,1,24,:0610,0,0,0.2,,,,
2020,1,24,:0710,255.79,4.49,-0.28,,,,
2020,1,24,:0810,517.77,10.84,-0.05,,,,
2020,1,24,:0910,631.42,15.51,0.63,,,,
2020,1,24,:1010,792.97,18.1,1.56,,,,
2020,1,24,:1110,800.08,18.37,2.43,,,,
2020,1,24,:1210,759.58,16.28,2.75,,,,
2020,1,24,:1310,595.54,12.05,2.82,,,,
2020,1,24,:1410,272.08,6.04,2.44,,,,
2020,1,24,:1510,0,0,1.53,,,,
2020,1,24,:1610,0,0,0.54,,,,
